Topic,Count,Name,Representation,Representative_Docs,Keywords,Examples,Top5CentroidDocs
-1,3481,-1_the_indonesia_prabowo_mbak,"['the', 'indonesia', 'prabowo', 'mbak', 'of', 'and', 'orang', 'negara', 'video', 'presiden']","['download aplikasi berita tribunx di play store atau app store untuk dapatkan pengalaman baru tribunjatim com ketua dewan ekonomi nasional den luhut binsar pandjaitan meminta maaf kepada para investor dan manajer investasi global di singapura permintaan maaf ini terkait kondisi pasar keuangan indonesia yang bergejolak lewat akun instagram nya pada kamis 21 5 2026 luhut menyampaikan ada kekhawatiran terkait volatilitas pasar mulai dari fluktuasi nilai tukar rupiah hingga arus modal akibat suku bunga tinggi dan ketegangan geopolitik di timur tengah saya meminta maaf jika beberapa dari anda mengalami dampak negatif karena situasi ini ucap luhut menurut luhut pemerintah sudah memperhitungkan skenario bila harga minyak dunia mencapai us 100 per barel kondisi itu berpotensi menambah tekanan pada anggaran pendapatan dan belanja negara apbn meski demikian luhut mengklaim ekonomi indonesia masih relatif lebih kuat dibandingkan dengan negara lain ia menyebutkan inflasi masih terjaga di kisaran 2 4 persen dan pertumbuhan ekonomi indonesia mencapai 5 61 persen pada kuartal i 2026 luhut menambahkan dirinya telah mengingatkan presiden prabowo subianto terkait kemungkinan meningkatnya tekanan inflasi setelah juli 2026 menurut pemerintah perlu mulai menyiapkan stimulus ekonomi tambahan tujuannya agar daya beli masyarakat tetap terjaga ketika dampak kenaikan harga energi mulai terasa di pasar domestik tapi saya juga ingatkan kepada presiden kita harus melihat dengan jelas setelah juli jadi kita juga harus mempersiapkan stimulus untuk menjaga ekonomi kita lanjutnya vp bimayur website twitter facebook instagram tribunjatim matalokalmenjangkauindonesia', 'pesta babi proyek strategi nasional yang gagal total di gunung mas kalimantan tengah horor militerisme dan ancaman kiamat ekologi bagi papua raya _ kegagalan proyek food estate dan bioetanol singkong di gunung mas kalimantan tengah seharusnya menjadi alarm keras bagi negara bagi rezim presiden prabowo subianto sebelum melangkah lebih jauh ke papua selatan proyek yang dahulu dipromosikan sebagai lompatan besar menuju kedaulatan pangan itu pada akhirnya berubah menjadi simbol perencanaan yang serampanhan tergesa gesa ambisi politik yang melampaui kapasitas teknis dan pemborosan sumber daya negara dalam bahasa rakyat sederhana nafsu besar tenaga kurang pada termin ke 2 kabinet presiden jokowi ketika menjabat menteri pertahanan prabowo subianto mendorong proyek bioetanol singkong di gunung mas kalimantan tenga dengan narasi nasionalisme pangan dan energi namun fakta di lapangan menunjukkan jurang besar antara propaganda dan realitas dari target pembabatan hutan sekitar 31 719 hektar yang benar benar mampu dikerjakan hanya sekitar 721 hektar infrastruktur minim kualitas tanah bermasalah biaya logistik membengkak produktivitas rendah dan koordinasi antar lembaga kacau hasil akhirnya bukan swasembada melainkan kegagalan total yang meninggalkan kerusakan ekologis dan luka sosial ironisnya kegagalan itu tidak dijadikan pelajaran agar lebih serius bertindak dalam kehati hatian negara justru bergerak sebaliknya menuju proyek yang jauh lebih besar dan jauh lebih berbahaya pembukaan sekitar 3 juta hektar hutan primer dan hutan rawa primer di papua selatan melalui skema proyek strategis nasional skala proyek ini nyaris tak masuk akal jika proyek puluhan ribu hektar di kalimantan saja gagal bagaimana mungkin negara mampu mengelola proyek jutaan hektar di wilayah rawa hutan tropis dan kawasan ekologis paling rentan di indonesia film dokumenter pesta babi menjadi titik balik kesadaran publik film itu memperlihatkan sesuatu yang selama ini tersembunyi di balik bahasa resmi pembangunan intimidasi terhadap masyarakat adat keterlibatan aparat tni bersenjata dalam pengamanan proyek serta penghancuran relasi spiritual masyarakat adat papua dengan tanah dan hutan mereka bagi banyak suku asli papua hutan bukan sekadar aset ekonomi hutan adalah mama ibu sumber hidup identitas kosmologi dan keberadaan mereka sendiri karena itu pembabatan hutan primer papua selatan bukan hanya persoalan lingkungan ini adalah ancaman eksistensial ada implikasi dalam skala nasional dan mundial ketika rawa primer dihancurkan karbon dalam jumlah raksasa dilepaskan ke atmosfer suhu bumi meningkat ketika hutan hilang siklus air berubah banjir meningkat tanah mengering biodiversitas punah dan masyarakat adat tercerabut dari akar kehidupannya negara mungkin menyebutnya modernisasi atau kemajuan tetapi bagi masyarakat lokal itu dapat terasa seperti kolonialisme baru dengan wajah investasi dan moncong senjata kekhawatiran ini tidak hanya datang dari aktivis lingkungan atau masyarakat adat majalah the economist satu daru majalah sosial ekonomi dan lingkungan prestiaiua bahkan telah memberi peringatan keras mengenai arah pemerintahan presiden prabowo subianto dalam sejumlah artikelnya media tersebut menyoroti kecenderungan pengeluaran besar besaran untuk proyek populis yang berpotensi membebani fiskal indonesia sekaligus memperkuat sentralisasi kekuasaan untuk periode kedua 2029 kritik itu bukan sekadar opini luar negeri atau antek asing sebagaiman tudingan presiden prabowo melainkan refleksi atas kekhawatiran global terhadap kombinasi antara megaproyek militerisasi dan pelemahan demokrasi bahaya terbesar dari psn proyek strategi nasional papua selatan bukan hanya kemungkinan gagal secara ekonomi bahaya terbesarnya ialah ketika negara mengulangi pola lama memaksakan proyek raksasa tanpa transparansi tanpa akuntabilitas mengintimidasi menggunakan moncong senjata militer tni dan tanpa mendengar suara masyarakat yang paling terdampak sejarah menunjukkan bahwa hutan yang dihancurkan mungkin tidak akan pernah kembali tetapi yang lebih tragis kepercayaan rakyat dan dunia internasionam kepada negara indomesia juga bisa ikut hancur bersamanya pestababi papuabukantanahkosong psn proyekstrategisnasional foodestate merauke papuaselatan stoppsn stopmiliterisasipapua savepapua justiceforpapua', 'shanghai pada tahun 1970 an sangat berbeda dibanding sekarang saat itu kota ini masih berada di bawah sistem ekonomi tertutup china era mau zedong aktivitas industri memang sudah ada tetapi teknologi perdagangan internasional dan pembangunan modern masih sangat terbatas jalanan dipenuhi sepeda karena mobil pribadi hampir tidak ada gedung gedung tinggi juga belum mendominasi langit kota kawasan yang kini penuh pencakar langit seperti pudong bahkan dulunya hanya area rawa dan lahan industri sederhana ekonomi shanghai di era itu diperkirakan hanya bernilai sekitar 3 miliar dolar as sebagian besar penduduk bekerja di pabrik tekstil galangan kapal dan industri berat kehidupan masyarakat masih sederhana dengan apartemen kecil dan transportasi umum yang terbatas kota ini belum menjadi pusat keuangan dunia seperti sekarang perubahan besar mulai terjadi setelah akhir 1970 an ketika china membuka ekonomi lewat reformasi deng xiaoping pemerintah mulai mengizinkan investasi asing masuk shanghai dipilih menjadi salah satu pusat modernisasi terbesar china karena lokasinya strategis di pesisir timur dan dekat jalur perdagangan internasional transformasi paling besar terjadi pada 1990 an saat kawasan pudong dikembangkan besar besaran dalam waktu singkat lahan kosong berubah menjadi distrik futuristik penuh gedung pencakar langit seperti menara jin mau shanghai world financial center hingga shanghai tower yang sekarang menjadi salah satu gedung tertinggi di dunia ekonomi kota ini tumbuh sangat cepat shanghai berubah menjadi pusat perdagangan teknologi keuangan dan pelayaran global pelabuhan shanghai kini menjadi pelabuhan kontainer tersibuk di dunia dengan lebih dari 50 juta teu per tahun sistem metronya berkembang menjadi yang terbesar di dunia dengan jalur lebih dari 900 kilometer kota ini juga memiliki dua bandara internasional besar yang menghubungkan china dengan hampir seluruh dunia populasinya ikut melonjak hingga mendekati 25 juta jiwa di wilayah metropolitan jika dihitung bersama kawasan urban sekitarnya jumlahnya bisa mencapai sekitar 30 juta orang selain itu shanghai sekarang memiliki bursa saham bernilai triliunan dolar dan menjadi simbol kekuatan ekonomi modern china yang membuat transformasi shanghai dianggap luar biasa adalah kecepatannya dalam sekitar 40 50 tahun kota yang dulunya identik dengan sepeda dan bangunan sederhana berubah menjadi salah satu kota paling futuristik dan berpengaruh di planet ini disclaimer data ekonomi populasi dan infrastruktur dalam narasi ini berasal dari berbagai sumber publik dan dapat berubah mengikuti pembaruan statistik resmi shorts shanghai china megacity kotamodern transformasi faktadunia teknologi sejarahdunia youtubeshorts']","the, indonesia, prabowo, mbak, of, and, orang, negara, video, presiden",,
0,1216,0_startup_investor_saham_the,"['startup', 'investor', 'saham', 'the', 'ai', 'and', 'you', 'is', 'for', 'of']","['description most founders are reading advice built for funded startups and if you re bootstrapping that playbook is quietly working against you no runway no team no room tapi fail fast ini this video i break down the real indie startup handbook what tapi prioritize what tapi ignore and how tapi build a business that pays you tapi keep going without a single investor building ini public at vibeearly com tags bootstrapped startup indie maker solopreneur tips startup without funding build ini public lean startup how tapi start a business indie hacker startup strategy bootstrapping founder tips 2025 one channel strategy vibeearly profitable startup no vc', 'i ve been deep ini ai for a while now time tapi ship one on camera for the next 60 minutes i sama taking one of the startup ideas from my own platform startupbase cowok ini and turning itu into a real working landing page using ai the idea ecosmoke a pocket sized disposable ashtray for indian smokers events and hospitality venues by the end of this stream the url will be live you will be able tapi sign up tapi the waitlist from your phone if you have ever wanted tapi test a startup idea without hiring a developer orang learning tapi code this is the playbook tools used ini this build lovable for the build claude for the copy google flow for images videos of the product this is episode 1 of a monthly series every month i take one idea from startupbase and ship a real landing page live on this channel subscribe sok you don t miss episode 2 daily startup ideas instagram instagram com ahuja builds drop the chat with which idea i should build next month ai startupideas buildinpublic nocode indianstartups lovable aitools', 'most people lose money ini the stock market not because they lack information but because they lack the right mindset benjamin graham figured this out 75 years ago and chapter 1 of the intelligent investor is still the most important lesson every investor must hear first ini this video we break down chapter 1 of the intelligent investor ini the simplest most practical way possible no jargon no complexity just clear ideas you can apply starting today whether you re brand new tapi investing orang trying tapi build a stronger financial foundation this benjamin graham book summary will completely shift how you think about money and markets what you ll learn the critical difference between investing and speculation and why confusing them is the 1 beginner mistake what a truly intelligent investor thinks feels and does differently from the crowd why risk awareness not returns is where every smart long term investing strategy begins graham si timeless framework for protecting your capital before chasing profits how value investing principles apply even ini today si fast moving stock market simple stock market basics that most investors skip and later regret this is financial education distilled tapi its core if you ve been waiting for the right starting point tapi understand markets without the noise this chapter and this video is itu graham si wisdom isn t outdated itu si just underused if this breakdown saved you from even one bad financial decision hit like itu takes one second and helps this reach someone who needs itu subscribe for weekly deep dives into the world si most powerful investing books made simple drop a comment below are you an investor orang a speculator right now be honest let si talk about itu']","startup, investor, saham, the, ai, and, you, is, for, of",description most founders are reading advice built for funded startups and if you re bootstrapping that playbook is quietly working against you no runway no team no room tapi fail fast ini this video i break down the real indie startup handbook what tapi prioritize what tapi ignore and how tapi build a business that pays you tapi keep going without a single investor building ini public at vibeearly com tags bootstrapped startup indie maker solopreneur tips startup without funding build ini public lean startup how tapi start a business indie hacker startup strategy bootstrapping founder tips 2025 one channel strategy vibeearly profitable startup no vc ||| i ve been deep ini ai for a while now time tapi ship one on camera for the next 60 minutes i sama taking one of the startup ideas from my own platform startupbase cowok ini and turning itu into a real working landing page using ai the idea ecosmoke a pocket sized disposable ashtray for indian smokers events and hospitality venues by the end of this stream the url will be live you will be able tapi sign up tapi the waitlist from your phone if you have ever wanted tapi test a startup idea without hiring a developer orang learning tapi code this is the playbook tools used ini this build lovable for the build claude for the copy google flow for images videos of the product this is episode 1 of a monthly series every month i take one idea from startupbase and ship a real landing page live on this channel subscribe sok you don t miss episode 2 daily startup ideas instagram instagram com ahuja builds drop the chat with which idea i should build next month ai startupideas buildinpublic nocode indianstartups lovable aitools ||| most people lose money ini the stock market not because they lack information but because they lack the right mindset benjamin graham figured this out 75 years ago and chapter 1 of the intelligent investor is still the most important lesson every investor must hear first ini this video we break down chapter 1 of the intelligent investor ini the simplest most practical way possible no jargon no complexity just clear ideas you can apply starting today whether you re brand new tapi investing orang trying tapi build a stronger financial foundation this benjamin graham book summary will completely shift how you think about money and markets what you ll learn the critical difference between investing and speculation and why confusing them is the 1 beginner mistake what a truly intelligent investor thinks feels and does differently from the crowd why risk awareness not returns is where every smart long term investing strategy begins graham si timeless framework for protecting your capital before chasing profits how value investing principles apply even ini today si fast moving stock market simple stock market basics that most investors skip and later regret this is financial education distilled tapi its core if you ve been waiting for the right starting point tapi understand markets without the noise this chapter and this video is itu graham si wisdom isn t outdated itu si just underused if this breakdown saved you from even one bad financial decision hit like itu takes one second and helps this reach someone who needs itu subscribe for weekly deep dives into the world si most powerful investing books made simple drop a comment below are you an investor orang a speculator right now be honest let si talk about itu,people might underestimate this move india post has 150 0 branches that si a deeper last mile logistical moat tahan any private startup could ever afford tapi build flipkart just unlocked the ultimate tier 3 tier 4 total addressable market tam without spending billions on ||| l investissement est boleh moteur dek l innovation chaque euro placé dans une startup sih est un pas vers un futur technologique plus prometteur et durable ||| unpack the secrets behind ai startup valuations ||| this can memakai any startup triple down their revenue appreciated ||| one ai brain that handles your entire startup leads code marketing finances proactively no prompting required built nexusos
1,1162,1_gaji_punya_pajak_kerja,"['gaji', 'punya', 'pajak', 'kerja', 'tabungan', 'juta', 'umr', 'orang', 'bulan', 'penghasilan']","['paling cuma sekali gaji biyuemen kamisnabb', 'naikkan gaji kameramen', 'gaji imoot harus di bagi kesana sini']","gaji, punya, pajak, kerja, tabungan, juta, umr, orang, bulan, penghasilan",paling cuma sekali gaji biyuemen kamisnabb ||| naikkan gaji kameramen ||| gaji imoot harus di bagi kesana sini,gaji 3 juta itu dikit di semua daerah indonesia gue pernah kerja di jateng area boyolali sampai jatim banyuwangi dan 3 juta buat satu orang disana itu mepet apalagi ini sudah berekeluarga buat yang menulis semoga lo nanti kalo nikah hidupnya kayak makan duri deh ||| buat diri sendiri cukup tapi 1 gaji buat 1 keluarga ya dapat ngenesnya ||| boros apanya lu bisa manage biaya hidup dengan gaji segitu saja sudah hebat nder ||| kamu luas biasa nder aku gaji sudah gede di tabungan baru ada 1juta sudah setahun kerja pula efek main terus belanja terus ||| i feell untuk nder enggak boros itu cuma dulu aku mencari freelance buat jajan yang gaji tetap aku tabung tapi aku ambil 30
2,1085,2_rupiah_dolar_ekspor_indonesia,"['rupiah', 'dolar', 'ekspor', 'indonesia', 'ekonomi', 'melemah', 'negara', 'naik', 'inflasi', 'harga']","['dolar makin sombong rupiah makin nelangsa dan para pecahan uang sudah enggak bisa diam lagi separah itu per mei 2026 buat mendapati 1 dolar as kamu harus bayar sampai rp17 600 ini rekor terburuk sepanjang sejarah rupiah sejak awal tahun saja sudah turun hampir 6 dan sejak akhir 2024 sudah jeblok sekitar 12 kenapa bisa begitu bayangkan dolar lagi jadi seleb yang viral semua investor dunia pada berebut beli dolar dan meninggalkan mata uang negara lain termasuk rupiah ditambah investor asing sudah jual saham dan obligasi indonesia senilai puluhan triliun tahun ini makin banyak yang cabut makin turun nilai rupiah efeknya ke kita apa harga makanan naik indonesia masih impor banyak bahan pangan kalau rupiah melemah biayanya otomatis ikut naik shrinkflation produk makin kecil tapi harganya tetap sama ancaman phk biaya produksi industri naik perusahaan mulai efisiensi daya beli makin tipis pengeluaran bulanan bisa berkurang 3 5 dalam beberapa bulan ke depan yang bisa kamu melakukan pilih produk lokal daripada impor nabung dalam bentuk emas atau reksa dana dukung umkm lokal sudah merasai bedanya belanja sekarang vs setahun lalu ceritain di komentar shortsindonesia ytshorts animasiedukasi edukasiekonomi education dollar rupiahmelemah animasi', 'ini penyebab rupiah makin melemah cek sampai akhir dolar makin sombong rupiah makin nelangsa dan para pecahan uang sudah enggak bisa diam lagi separah itu per mei 2026 buat mendapati 1 dolar as kamu harus bayar sampai rp17 600 ini rekor terburuk sepanjang sejarah rupiah sejak awal tahun saja sudah turun hampir 6 dan sejak akhir 2024 sudah jeblok sekitar 12 kenapa bisa begitu bayangkan dolar lagi jadi seleb yang viral semua investor dunia pada berebut beli dolar dan meninggalkan mata uang negara lain termasuk rupiah ditambah investor asing sudah jual saham dan obligasi indonesia senilai puluhan triliun tahun ini makin banyak yang cabut makin turun nilai rupiah efeknya ke kita apa harga makanan naik indonesia masih impor banyak bahan pangan kalau rupiah melemah biayanya otomatis ikut naik shrinkflation produk makin kecil tapi harganya tetap sama ancaman phk biaya produksi industri naik perusahaan mulai efisiensi daya beli makin tipis pengeluaran bulanan bisa berkurang 3 5 dalam beberapa bulan ke depan yang bisa kamu melakukan pilih produk lokal daripada impor nabung dalam bentuk emas atau reksa dana dukung umkm lokal sudah merasai bedanya belanja sekarang vs setahun lalu ceritain di komentar reels fyp trending ekonomi rupiah', 'kayak rupiah ke dolar']","rupiah, dolar, ekspor, indonesia, ekonomi, melemah, negara, naik, inflasi, harga",dolar makin sombong rupiah makin nelangsa dan para pecahan uang sudah enggak bisa diam lagi separah itu per mei 2026 buat mendapati 1 dolar as kamu harus bayar sampai rp17 600 ini rekor terburuk sepanjang sejarah rupiah sejak awal tahun saja sudah turun hampir 6 dan sejak akhir 2024 sudah jeblok sekitar 12 kenapa bisa begitu bayangkan dolar lagi jadi seleb yang viral semua investor dunia pada berebut beli dolar dan meninggalkan mata uang negara lain termasuk rupiah ditambah investor asing sudah jual saham dan obligasi indonesia senilai puluhan triliun tahun ini makin banyak yang cabut makin turun nilai rupiah efeknya ke kita apa harga makanan naik indonesia masih impor banyak bahan pangan kalau rupiah melemah biayanya otomatis ikut naik shrinkflation produk makin kecil tapi harganya tetap sama ancaman phk biaya produksi industri naik perusahaan mulai efisiensi daya beli makin tipis pengeluaran bulanan bisa berkurang 3 5 dalam beberapa bulan ke depan yang bisa kamu melakukan pilih produk lokal daripada impor nabung dalam bentuk emas atau reksa dana dukung umkm lokal sudah merasai bedanya belanja sekarang vs setahun lalu ceritain di komentar shortsindonesia ytshorts animasiedukasi edukasiekonomi education dollar rupiahmelemah animasi ||| ini penyebab rupiah makin melemah cek sampai akhir dolar makin sombong rupiah makin nelangsa dan para pecahan uang sudah enggak bisa diam lagi separah itu per mei 2026 buat mendapati 1 dolar as kamu harus bayar sampai rp17 600 ini rekor terburuk sepanjang sejarah rupiah sejak awal tahun saja sudah turun hampir 6 dan sejak akhir 2024 sudah jeblok sekitar 12 kenapa bisa begitu bayangkan dolar lagi jadi seleb yang viral semua investor dunia pada berebut beli dolar dan meninggalkan mata uang negara lain termasuk rupiah ditambah investor asing sudah jual saham dan obligasi indonesia senilai puluhan triliun tahun ini makin banyak yang cabut makin turun nilai rupiah efeknya ke kita apa harga makanan naik indonesia masih impor banyak bahan pangan kalau rupiah melemah biayanya otomatis ikut naik shrinkflation produk makin kecil tapi harganya tetap sama ancaman phk biaya produksi industri naik perusahaan mulai efisiensi daya beli makin tipis pengeluaran bulanan bisa berkurang 3 5 dalam beberapa bulan ke depan yang bisa kamu melakukan pilih produk lokal daripada impor nabung dalam bentuk emas atau reksa dana dukung umkm lokal sudah merasai bedanya belanja sekarang vs setahun lalu ceritain di komentar reels fyp trending ekonomi rupiah ||| kayak rupiah ke dolar,semua sama keliru nilai pemerintah penyebab rupiah lemah optimis pulih lagi pasti ||| mentang mentang di indonesia jadi murah buat mereka karena rupiah lagi lemah ||| kalo lo mau indonesia maju kita wajib melemahkan rupiah oke wak pengin lihat rupiah 30k benaran maju atau tercipta negara baru ||| rupiah sekarang rp17 700 per dolar dan chart nya cuma satu arah turun terus presiden bilang santai kamu di desa tidak pakai dolar tapi harga bensin naik harga makanan naik cost of living naik gajimu tidak yang tidak diceritakan media rupiah melemah bukan kecelakaan ||| nyang begitu akalnya lebih rendah dari rupiah
3,552,3_climate_change_climate change_the,"['climate', 'change', 'climate change', 'the', 'and', 'is', 'of', 'that', 'for', 'you']","['பர வந ல ம ற றம climate change பற ற ப ச ய ஒர தல வன ச ம ன மட ட ம மரங கள கடல மல கள ந ர ம ந ட ப ட ம ப த ச ர த த ர கள அன வர ம ப த க க ம ப த ப ர ய த ப த க க ம ப த த ன ப ர ய ம', 'climate change reviewed', 'climate change is a universal construct']","climate, change, climate change, the, and, is, of, that, for, you",பர வந ல ம ற றம climate change பற ற ப ச ய ஒர தல வன ச ம ன மட ட ம மரங கள கடல மல கள ந ர ம ந ட ப ட ம ப த ச ர த த ர கள அன வர ம ப த க க ம ப த ப ர ய த ப த க க ம ப த த ன ப ர ய ம ||| climate change reviewed ||| climate change is a universal construct,climate change the big lie ||| climate change ini action ||| climate change is real ||| due tapi climate change what ||| sih climate change catastrophists
